T:StockSharp.Exmo.ExmoMessageAdapter/summary;DocStr2538
P:StockSharp.Exmo.ExmoMessageAdapter.Key/summary;Str3304
P:StockSharp.Exmo.ExmoMessageAdapter.Secret/summary;DocStr3146
P:StockSharp.Exmo.ExmoMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Exmo.ExmoMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Exmo.ExmoMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Exmo.ExmoMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Exmo.ExmoMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Exmo.ExmoMessageAdapter.ToString/summary;DocStr49
M:StockSharp.Exmo.ExmoMessageAdapter.ToString/returns;DocStr50
M:StockSharp.Exmo.ExmoMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Exmo.ExmoMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Exmo.ExmoMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.Exmo.ExmoOrderCondition/summary;DocStr60
M:StockSharp.Exmo.ExmoOrderCondition.#ctor/summary;DocStr1
T:StockSharp.Exmo.ExmoTrader/summary;DocStr2539
M:StockSharp.Exmo.ExmoTrader.#ctor/summary;DocStr1
P:StockSharp.Exmo.ExmoTrader.Key/summary;Str3304
P:StockSharp.Exmo.ExmoTrader.Secret/summary;DocStr3146
P:StockSharp.Exmo.ExmoTrader.BalanceCheckInterval/summary;BalanceCheckInterval
