T:StockSharp.Cqg.Com.CqgComMessageAdapter/summary;DocStr3085
M:StockSharp.Cqg.Com.CqgComMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Cqg.Com.CqgComMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
P:StockSharp.Cqg.Com.CqgComMessageAdapter.IsNativeIdentifiers/inheritdoc;DocStr8459
P:StockSharp.Cqg.Com.CqgComMessageAdapter.IsSupportSecuritiesLookupAll/inheritdoc;DocStr8459
P:StockSharp.Cqg.Com.CqgComMessageAdapter.IsSupportCandlesUpdates/inheritdoc;DocStr8459
M:StockSharp.Cqg.Com.CqgComMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/summary;DocStr46
M:StockSharp.Cqg.Com.CqgComMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/param/message;Str3166
P:StockSharp.Cqg.Com.CqgComMessageAdapter.UserName/summary;Login
P:StockSharp.Cqg.Com.CqgComMessageAdapter.Password/summary;Password
P:StockSharp.Cqg.Com.CqgComMessageAdapter.AllTimeFrames/summary;DocStr206
M:StockSharp.Cqg.Com.CqgComMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
M:StockSharp.Cqg.Com.CqgComMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Cqg.Com.CqgComMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Cqg.Com.CqgComMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Cqg.Com.CqgComOrderCondition/summary;DocStr60
M:StockSharp.Cqg.Com.CqgComOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Cqg.Com.CqgComOrderCondition.StopPrice/summary;Str3460
T:StockSharp.Cqg.Com.CqgComTrader/summary;DocStr2539
M:StockSharp.Cqg.Com.CqgComTrader.#ctor/summary;DocStr1
