T:StockSharp.Kraken.KrakenMessageAdapter/summary;DocStr2538
M:StockSharp.Kraken.KrakenMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Kraken.KrakenMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Kraken.KrakenMessageAdapter.IsAllDownloadingSupported(StockSharp.Messages.DataType)/inheritdoc;DocStr8459
P:StockSharp.Kraken.KrakenMessageAdapter.SupportedOrderBookDepths/inheritdoc;DocStr8459
P:StockSharp.Kraken.KrakenMessageAdapter.IsSupportExecutionsPnL/inheritdoc;DocStr8459
M:StockSharp.Kraken.KrakenMessageAdapter.GetTimeFrames(StockSharp.Messages.SecurityId,System.Nullable{System.DateTimeOffset},System.Nullable{System.DateTimeOffset})/inheritdoc;DocStr8459
P:StockSharp.Kraken.KrakenMessageAdapter.IsSupportOrderBookIncrements/inheritdoc;DocStr8459
M:StockSharp.Kraken.KrakenMessageAdapter.GetHistoryStepSize(StockSharp.Messages.DataType,System.TimeSpan@)/inheritdoc;DocStr8459
P:StockSharp.Kraken.KrakenMessageAdapter.FeatureName/inheritdoc;DocStr8459
M:StockSharp.Kraken.KrakenMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.Kraken.KrakenMessageAdapter.AllTimeFrames/summary;DocStr206
F:StockSharp.Kraken.KrakenMessageAdapter.DefaultHeartbeatInterval/summary;DocStr9884
P:StockSharp.Kraken.KrakenMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.Kraken.KrakenMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.Kraken.KrakenMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Kraken.KrakenMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Kraken.KrakenMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.Kraken.KrakenMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.Kraken.KrakenOrderConditionTypes/summary;DocStr10253
F:StockSharp.Kraken.KrakenOrderConditionTypes.StopLoss/summary;StopLoss
F:StockSharp.Kraken.KrakenOrderConditionTypes.TakeProfit/summary;TakeProfit
F:StockSharp.Kraken.KrakenOrderConditionTypes.StopLossTakeProfit/summary;DocStr10254
T:StockSharp.Kraken.KrakenOrderCondition/summary;DocStr60
M:StockSharp.Kraken.KrakenOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Kraken.KrakenOrderCondition.Type/summary;Str1963
P:StockSharp.Kraken.KrakenOrderCondition.StopPrice/summary;Str3460
P:StockSharp.Kraken.KrakenOrderCondition.IsTrailing/summary;Str3446
P:StockSharp.Kraken.KrakenOrderCondition.Leverage/summary;Leverage
P:StockSharp.Kraken.KrakenOrderCondition.OrderFlags/summary;OrderFlags
P:StockSharp.Kraken.KrakenOrderCondition.StartTime/summary;StartTime
T:StockSharp.Kraken.KrakenTrader/summary;DocStr2539
M:StockSharp.Kraken.KrakenTrader.#ctor/summary;DocStr1
P:StockSharp.Kraken.KrakenTrader.Key/summary;Str3304
P:StockSharp.Kraken.KrakenTrader.Secret/summary;DocStr3146
P:StockSharp.Kraken.KrakenTrader.BalanceCheckInterval/summary;BalanceCheckInterval
