T:StockSharp.ETrade.ETradeMessageAdapter/summary;DocStr3108
M:StockSharp.ETrade.ETradeMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.ETrade.ETradeMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.ETrade.ETradeMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
P:StockSharp.ETrade.ETradeMessageAdapter.Key/inheritdoc;DocStr8459
P:StockSharp.ETrade.ETradeMessageAdapter.Secret/inheritdoc;DocStr8459
P:StockSharp.ETrade.ETradeMessageAdapter.IsDemo/inheritdoc;DocStr8459
P:StockSharp.ETrade.ETradeMessageAdapter.AccessToken/summary;DocStr3136
P:StockSharp.ETrade.ETradeMessageAdapter.VerificationCode/summary;Str3371
M:StockSharp.ETrade.ETradeMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.ETrade.ETradeMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/inheritdoc;DocStr8459
M:StockSharp.ETrade.ETradeMessageAdapter.ToString/inheritdoc;DocStr8459
T:StockSharp.ETrade.ETradeStopTypes/summary;DocStr3137
F:StockSharp.ETrade.ETradeStopTypes.StopMarket/summary;DocStr3138
F:StockSharp.ETrade.ETradeStopTypes.StopLimit/summary;DocStr3139
T:StockSharp.ETrade.ETradeOrderCondition/summary;DocStr60
M:StockSharp.ETrade.ETradeOrderCondition.#ctor/summary;DocStr1
P:StockSharp.ETrade.ETradeOrderCondition.StopType/summary;Str2570
P:StockSharp.ETrade.ETradeOrderCondition.StopPrice/summary;StopPrice
T:StockSharp.ETrade.ETradeTrader/summary;DocStr2539
P:StockSharp.ETrade.ETradeTrader.ConsumerKey/summary;Str3304
P:StockSharp.ETrade.ETradeTrader.ConsumerSecret/summary;DocStr3146
P:StockSharp.ETrade.ETradeTrader.AccessToken/summary;DocStr3136
P:StockSharp.ETrade.ETradeTrader.VerificationCode/summary;Str3371
P:StockSharp.ETrade.ETradeTrader.Sandbox/summary;DocStr3141
M:StockSharp.ETrade.ETradeTrader.#ctor/summary;DocStr1
T:StockSharp.ETrade.Native.OAuthToken/summary;DocStr3142
M:StockSharp.ETrade.Native.OAuthToken.#ctor(System.String,System.String,System.String)/summary;DocStr1
M:StockSharp.ETrade.Native.OAuthToken.#ctor(System.String,System.String,System.String)/param/consumerKey;DocStr3144
M:StockSharp.ETrade.Native.OAuthToken.#ctor(System.String,System.String,System.String)/param/token;DocStr3145
M:StockSharp.ETrade.Native.OAuthToken.#ctor(System.String,System.String,System.String)/param/secret;DocStr3146
P:StockSharp.ETrade.Native.OAuthToken.ConsumerKey/summary;DocStr3144
P:StockSharp.ETrade.Native.OAuthToken.Token/summary;DocStr3145
P:StockSharp.ETrade.Native.OAuthToken.Secret/summary;DocStr3146
M:StockSharp.ETrade.Native.OAuthToken.Serialize/summary;DocStr3147
M:StockSharp.ETrade.Native.OAuthToken.Serialize/returns;DocStr3148
M:StockSharp.ETrade.Native.OAuthToken.Deserialize(System.String)/summary;DocStr3149
M:StockSharp.ETrade.Native.OAuthToken.Deserialize(System.String)/param/serialized;DocStr3148
M:StockSharp.ETrade.Native.OAuthToken.Deserialize(System.String)/returns;DocStr3145
