T:StockSharp.Quoinex.QuoinexMessageAdapter/summary;DocStr2538
P:StockSharp.Quoinex.QuoinexMessageAdapter.Key/summary;Str3304
P:StockSharp.Quoinex.QuoinexMessageAdapter.Secret/summary;DocStr3146
P:StockSharp.Quoinex.QuoinexMessageAdapter.IsQryptos/summary;DocStr10582
P:StockSharp.Quoinex.QuoinexMessageAdapter.UserId/summary;UserId
P:StockSharp.Quoinex.QuoinexMessageAdapter.PusherAccessKey/summary;DocStr10583
P:StockSharp.Quoinex.QuoinexMessageAdapter.BalanceCheckInterval/summary;BalanceCheckInterval
M:StockSharp.Quoinex.QuoinexMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/summary;DocStr4
M:StockSharp.Quoinex.QuoinexMessageAdapter.Save(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Quoinex.QuoinexMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/summary;DocStr2
M:StockSharp.Quoinex.QuoinexMessageAdapter.Load(Ecng.Serialization.SettingsStorage)/param/storage;DocStr3
M:StockSharp.Quoinex.QuoinexMessageAdapter.ToString/summary;DocStr49
M:StockSharp.Quoinex.QuoinexMessageAdapter.ToString/returns;DocStr50
M:StockSharp.Quoinex.QuoinexMessageAdapter.#ctor(Ecng.Common.IdGenerator)/summary;DocStr1
M:StockSharp.Quoinex.QuoinexMessageAdapter.#ctor(Ecng.Common.IdGenerator)/param/transactionIdGenerator;DocStr3311
M:StockSharp.Quoinex.QuoinexMessageAdapter.OnSendInMessage(StockSharp.Messages.Message)/inheritdoc;DocStr8459
T:StockSharp.Quoinex.QuoinexOrderDirections/summary;DocStr10584
F:StockSharp.Quoinex.QuoinexOrderDirections.One/summary;DocStr10585
F:StockSharp.Quoinex.QuoinexOrderDirections.Two/summary;DocStr10586
F:StockSharp.Quoinex.QuoinexOrderDirections.NetOut/summary;DocStr10587
T:StockSharp.Quoinex.QuoinexOrderCondition/summary;DocStr60
M:StockSharp.Quoinex.QuoinexOrderCondition.#ctor/summary;DocStr1
P:StockSharp.Quoinex.QuoinexOrderCondition.PriceRange/summary;Str163
P:StockSharp.Quoinex.QuoinexOrderCondition.LeverageLevel/summary;Leverage
P:StockSharp.Quoinex.QuoinexOrderCondition.FundingCurrency/summary;FundingCurrency
P:StockSharp.Quoinex.QuoinexOrderCondition.OrderDirection/summary;DocStr10588
T:StockSharp.Quoinex.QuoinexTrader/summary;DocStr2539
M:StockSharp.Quoinex.QuoinexTrader.#ctor/summary;DocStr1
P:StockSharp.Quoinex.QuoinexTrader.Key/summary;Str3304
P:StockSharp.Quoinex.QuoinexTrader.Secret/summary;DocStr3146
P:StockSharp.Quoinex.QuoinexTrader.BalanceCheckInterval/summary;BalanceCheckInterval
P:StockSharp.Quoinex.QuoinexTrader.IsQryptos/summary;DocStr10582
P:StockSharp.Quoinex.QuoinexTrader.UserId/summary;UserId
P:StockSharp.Quoinex.QuoinexTrader.PusherAccessKey/summary;DocStr10583
